,attn_to_target,crit,distractor,entropy,grammaticality,id,interference,sentence,subject,surprisal,verb
0,0.38682204484939575,see,pl,1.7666097332124753,gram,1.0,int,The runners who the drivers see during the commute every morning always wave to say hi.,pl,8.849441528320312,pl
1,0.2853594124317169,sees,pl,2.0046480798474455,ungram,1.0,unint,The runners who the drivers sees during the commute every morning always wave to say hi.,pl,15.838024139404297,sing
2,0.5597394704818726,see,sing,1.5591384589841482,gram,1.0,unint,The runner who the drivers see during the commute every morning always waves to say hi.,pl,8.518957138061523,pl
3,0.13974733650684357,sees,sing,2.116946313774552,ungram,1.0,int,The runner who the drivers sees during the commute every morning always waves to say hi.,pl,14.068367004394531,sing
4,0.32612454891204834,see,pl,2.0236908034102137,ungram,1.0,int,The runners who the driver see during the commute every morning always wave to say hi.,sing,14.230849266052246,pl
5,0.8526120781898499,sees,pl,0.8722370246509016,gram,1.0,unint,The runners who the driver sees during the commute every morning always wave to say hi.,sing,8.794525146484375,sing
6,0.4443417191505432,see,sing,2.0160101494705076,ungram,1.0,unint,The runner who the driver see during the commute every morning always waves to say hi.,sing,14.542387962341309,pl
7,0.6634567975997925,sees,sing,1.547406113441179,gram,1.0,int,The runner who the driver sees during the commute every morning always waves to say hi.,sing,8.541596412658691,sing
8,0.4963257610797882,criticize,pl,2.0157020025468486,gram,2.0,int,The industrialists who the activists criticize always puts profit above concern for the environment.,pl,10.163897514343262,pl
9,,criticizes,pl,,ungram,2.0,unint,The industrialists who the activists criticizes always puts profit above concern for the environment.,pl,,sing
10,0.64641934633255,criticize,sing,1.6327741915166019,gram,2.0,unint,The industrialist who the activists criticize always puts profit above concerns for the environment.,pl,10.959213256835938,pl
11,,criticizes,sing,,ungram,2.0,int,The industrialist who the activists criticizes always puts profit above concerns for the environment.,pl,,sing
12,0.3081943094730377,criticize,pl,2.3231767107868353,ungram,2.0,int,The industrialists who the activist criticize always puts profit above concern for the environment.,sing,15.216835975646973,pl
13,,criticizes,pl,,gram,2.0,unint,The industrialists who the activist criticizes always puts profit above concerns for the environment.,sing,,sing
