,attn_to_target,crit,distractor,entropy,grammaticality,id,interference,sentence,subject,surprisal,verb
0,0.25851574540138245,themselves,pl,2.0609141157147244,gram,1.0,int,The tall nurses who cared for the elderly widows definitely pricked themselves with a used syringe.,pl,5.694944858551025,sing
1,0.044280845671892166,herself,pl,2.315169241415384,ungram,1.0,unint,The tall nurses who cared for the elderly widows definitely pricked herself with a used syringe.,pl,10.431891441345215,sing
2,0.3105835020542145,themselves,sing,1.926530614680433,gram,1.0,unint,The tall nurses who cared for the elderly widow definitely pricked themselves with a used syringe.,pl,6.895465850830078,sing
3,0.059587057679891586,herself,sing,2.4161666489033955,ungram,1.0,int,The tall nurses who cared for the elderly widow definitely pricked herself with a used syringe.,pl,7.917213439941406,sing
4,0.1817186325788498,herself,pl,2.116315532095454,gram,1.0,unint,The tall nurse who cared for the elderly widows definitely pricked herself with a used syringe.,sing,7.1189680099487305,sing
5,0.1369481086730957,themselves,pl,2.651216591393415,ungram,1.0,int,The tall nurse who cared for the elderly widows definitely pricked themselves with a used syringe.,sing,8.823043823242188,sing
6,0.18838320672512054,herself,sing,2.199863061880105,gram,1.0,int,The tall nurse who cared for the elderly widow definitely pricked herself with a used syringe.,sing,6.967552661895752,sing
7,0.1504599004983902,themselves,sing,2.518590489275957,ungram,1.0,unint,The tall nurse who cared for the elderly widow definitely pricked themselves with a used syringe.,sing,12.33609676361084,sing
8,,themselves,pl,1.9642304598430704,gram,2.0,int,The legendary divas who sang with graceful harpists clearly presented themselves with lots of fanfare.,pl,2.1227622032165527,sing
9,,herself,pl,1.7922175666911062,ungram,2.0,unint,The legendary divas who sang with graceful harpists clearly presented herself with lots of fanfare.,pl,7.957195281982422,sing
10,,themselves,sing,1.856271475511223,gram,2.0,unint,The legendary divas who sang with graceful harpist clearly presented themselves with lots of fanfare.,pl,2.302720069885254,sing
11,,herself,sing,1.819604416016148,ungram,2.0,int,The legendary divas who sang with graceful harpist clearly presented herself with lots of fanfare.,pl,6.44787073135376,sing
12,,herself,pl,1.9403340810422596,gram,2.0,unint,The legendary diva who sang with the graceful harpists clearly presented herself with lots of fanfare.,sing,2.532287120819092,sing
13,,themselves,pl,1.8792948376736351,ungram,2.0,int,The legendary diva who sang with the graceful harpists clearly presented themselves with lots of fanfare.,sing,6.152618408203125,sing
14,,herself,sing,1.9854469775854076,gram,2.0,int,The legendary diva who sang with the graceful harpist clearly presented herself with lots of fanfare.,sing,2.4082159996032715,sing
15,,themselves,sing,1.7513350770704934,ungram,2.0,unint,The legendary diva who sang with the graceful harpist clearly presented themselves with lots of fanfare.,sing,8.305487632751465,sing
16,,themselves,pl,2.852879150857853,gram,3.0,int,The nice beauticians who advised the beauty queens probably dabbed themselves with imported French perfume.,pl,6.748464107513428,sing
17,,herself,pl,2.6943708025985478,ungram,3.0,unint,The nice beauticians who advised the beauty queens probably dabbed herself with imported French perfume.,pl,11.597758293151855,sing
18,,themselves,sing,2.391912074593464,gram,3.0,unint,The nice beauticians who advised the beauty queen probably dabbed themselves with imported French perfume.,pl,7.004868030548096,sing
19,,herself,sing,2.896511495842133,ungram,3.0,int,The nice beauticians who advised the beauty queen probably dabbed herself with imported French perfume.,pl,9.034472465515137,sing
